valid_time,latitude,longitude,number,expver,t2m,d2m,u10,v10,tp
2025-03-01 12:00:00,23.75,106.75,0,0001,297.10718,290.75098,-0.71136475,4.1636353,0.0
2025-03-01 12:00:00,23.75,107.0,0,0001,297.29468,291.14355,-0.64593506,4.6294556,0.0
2025-03-01 12:00:00,23.75,107.25,0,0001,297.14624,291.15332,-0.33636475,4.958557,9.536743e-07
2025-03-01 12:00:00,23.75,107.5,0,0001,296.80054,291.03613,-0.42034912,5.1626587,9.536743e-07
2025-03-01 12:00:00,23.75,107.75,0,0001,296.45093,290.9795,-1.1400757,5.555237,0.0
2025-03-01 12:00:00,23.75,108.0,0,0001,296.23413,290.7881,-1.8324585,6.5181274,0.0
2025-03-01 12:00:00,23.75,108.25,0,0001,295.38452,290.2705,-1.512146,6.003479,0.0
2025-03-01 12:00:00,23.75,108.5,0,0001,295.22046,290.1631,-1.2914429,5.237854,0.0
2025-03-01 12:00:00,23.75,108.75,0,0001,295.80054,290.292,-0.90960693,5.423401,0.0
2025-03-01 12:00:00,23.75,109.0,0,0001,296.5857,290.49512,-0.32366943,5.8862915,0.0
2025-03-01 12:00:00,23.75,109.25,0,0001,297.0818,290.65918,0.13043213,5.7974243,0.0
2025-03-01 12:00:00,23.75,109.5,0,0001,297.55054,290.76465,-0.42425537,5.856018,0.0
2025-03-01 12:00:00,23.75,109.75,0,0001,296.54468,290.42676,-1.1478882,4.7837524,0.0
2025-03-01 12:00:00,23.75,110.0,0,0001,295.30444,290.22754,-0.89105225,3.3023071,0.0
2025-03-01 12:00:00,23.5,102.0,0,0001,295.23218,281.55957,0.95562744,2.6275024,0.0
2025-03-01 12:00:00,23.5,102.25,0,0001,298.53687,280.9873,0.9155884,1.8482056,0.0
2025-03-01 12:00:00,23.5,102.5,0,0001,296.02515,281.1709,1.5786743,2.074768,0.0
2025-03-01 12:00:00,23.5,102.75,0,0001,294.3103,281.10254,1.21344,2.1011353,0.0
2025-03-01 12:00:00,23.5,103.0,0,0001,294.8767,280.50293,0.5767212,2.0239868,0.0
2025-03-01 12:00:00,23.5,103.25,0,0001,295.73022,278.99316,0.74468994,2.1450806,0.0
2025-03-01 12:00:00,23.5,103.5,0,0001,294.0017,280.41895,1.3921509,2.4917603,0.0
2025-03-01 12:00:00,23.5,103.75,0,0001,293.79858,281.8506,1.9155884,3.1431274,0.0
2025-03-01 12:00:00,23.5,104.0,0,0001,294.80444,282.70996,1.9204712,3.284729,0.0
2025-03-01 12:00:00,23.5,104.25,0,0001,295.0017,283.58887,1.7505493,3.9282837,0.0
2025-03-01 12:00:00,23.5,104.5,0,0001,293.77515,285.45996,1.2095337,4.055237,0.0
2025-03-01 12:00:00,23.5,104.75,0,0001,291.54858,288.26855,0.42144775,3.3648071,0.0
2025-03-01 12:00:00,23.5,105.0,0,0001,290.5857,288.53223,0.284729,2.6431274,0.0
2025-03-01 12:00:00,23.5,105.25,0,0001,290.54663,288.09668,1.2183228,2.5962524,0.0
2025-03-01 12:00:00,23.5,105.5,0,0001,291.4724,288.34668,1.0601196,2.5933228,0.0
2025-03-01 12:00:00,23.5,105.75,0,0001,292.75952,288.65723,0.91656494,3.190979,0.0
2025-03-01 12:00:00,23.5,106.0,0,0001,293.65015,289.01074,0.9517212,4.1206665,0.0
2025-03-01 12:00:00,23.5,106.25,0,0001,293.44507,289.458,1.5054321,5.9624634,0.0
2025-03-01 12:00:00,23.5,106.5,0,0001,293.5642,290.0537,1.6802368,6.717346,4.7683716e-07
2025-03-01 12:00:00,23.5,106.75,0,0001,294.96265,290.74902,0.9175415,6.3657837,0.0
2025-03-01 12:00:00,23.5,107.0,0,0001,296.54077,291.25098,0.29449463,5.923401,0.0
