latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
14.1521,107.3982,324.7,1,1,2012-01-01,0324,Terra,MODIS,70,6.2,299.6,15,D,0
13.3359,107.9443,314.6,1,1,2012-01-01,0324,Terra,MODIS,67,6.2,291.2,8.9,D,0
13.5538,107.8397,331.6,1,1,2012-01-01,0324,Terra,MODIS,85,6.2,297.7,24.9,D,0
13.5552,107.8306,317.8,1,1,2012-01-01,0324,Terra,MODIS,71,6.2,297.3,9.4,D,0
13.4658,107.8112,335.5,1,1,2012-01-01,0324,Terra,MODIS,88,6.2,296.6,30.3,D,0
13.5458,107.8947,313.7,1,1,2012-01-01,0324,Terra,MODIS,59,6.2,296.7,4.8,D,0
13.6103,107.7702,315.9,1,1,2012-01-01,0324,Terra,MODIS,60,6.2,297.4,6.9,D,0
13.629,107.6413,315.9,1,1,2012-01-01,0324,Terra,MODIS,25,6.2,297.9,5.5,D,0
14.1016,107.3656,315.6,1,1,2012-01-01,0324,Terra,MODIS,27,6.2,296.3,8.4,D,0
14.1508,107.4076,328.9,1,1,2012-01-01,0324,Terra,MODIS,84,6.2,301.1,19.2,D,0
10.5478,107.4765,326.7,1,1,2012-01-01,0325,Terra,MODIS,80,6.2,296.3,17.7,D,0
11.6436,106.0008,332.4,1.1,1,2012-01-01,0325,Terra,MODIS,85,6.2,283.8,28.5,D,0
11.1848,108.0919,327,1,1,2012-01-01,0325,Terra,MODIS,81,6.2,297.9,17.4,D,0
13.435,107.7165,316.1,1.2,1.1,2012-01-01,0627,Aqua,MODIS,65,6.2,295.2,9.4,D,0
13.3318,107.6353,319.1,1.2,1.1,2012-01-01,0627,Aqua,MODIS,52,6.2,299.1,9.5,D,0
13.4668,107.804,322.5,1.2,1.1,2012-01-01,0627,Aqua,MODIS,75,6.2,296.5,16,D,0
13.5516,107.8334,327.1,1.3,1.1,2012-01-01,0627,Aqua,MODIS,80,6.2,297.8,24.4,D,0
13.4684,107.8155,316,1.2,1.1,2012-01-01,0627,Aqua,MODIS,60,6.2,297.2,7.4,D,0
11.834,106.4211,327.6,1,1,2012-01-01,0627,Aqua,MODIS,75,6.2,297.6,16.4,D,0
13.3303,107.6242,318.6,1.2,1.1,2012-01-01,0627,Aqua,MODIS,49,6.2,298.6,9.3,D,0
14.2024,107.663,320.9,1.2,1.1,2012-01-01,0628,Aqua,MODIS,72,6.2,290,17.2,D,2
14.204,107.6751,324.9,1.3,1.1,2012-01-01,0628,Aqua,MODIS,79,6.2,293.1,23,D,2
13.5953,107.693,323.7,1.2,1.1,2012-01-01,0628,Aqua,MODIS,77,6.2,298.7,15.7,D,0
14.2669,107.4649,318.8,1.2,1.1,2012-01-01,0628,Aqua,MODIS,30,6.2,299.2,11.8,D,0
14.2032,107.6694,324.7,1.3,1.1,2012-01-01,0628,Aqua,MODIS,61,6.2,292.7,22.3,D,2
21.5224,103.0021,308.4,1,1,2012-01-01,0630,Aqua,MODIS,64,6.2,290,6.5,D,0
21.521,102.9925,319.6,1,1,2012-01-01,0630,Aqua,MODIS,78,6.2,289.6,15.8,D,0
12.0311,106.8776,311.5,3.9,1.8,2012-01-02,0407,Terra,MODIS,25,6.2,291.8,36,D,0
12.0417,106.873,312.2,3.9,1.8,2012-01-02,0407,Terra,MODIS,29,6.2,292.2,39.1,D,0
14.2715,107.4654,311.3,4.8,2,2012-01-02,0533,Aqua,MODIS,48,6.2,290.5,69.8,D,0
12.8779,107.8944,302.7,1.3,1.1,2012-01-02,1457,Terra,MODIS,51,6.2,289.2,7.1,N,0
12.1205,107.3017,304.4,1.4,1.2,2012-01-02,1457,Terra,MODIS,60,6.2,287.8,10,N,0
14.1104,107.6521,307.1,1.3,1.1,2012-01-02,1458,Terra,MODIS,70,6.2,291.1,9.9,N,0
14.1803,107.4423,301.8,1.3,1.1,2012-01-02,1458,Terra,MODIS,22,6.2,288.9,5.8,N,0
14.1821,107.454,300.5,1.3,1.1,2012-01-02,1458,Terra,MODIS,10,6.2,289.2,4.3,N,0
13.606,107.7667,305.6,1.3,1.1,2012-01-02,1458,Terra,MODIS,65,6.2,289.5,9.7,N,0
13.5558,107.8397,309.9,1.3,1.1,2012-01-02,1458,Terra,MODIS,79,6.2,290,13.3,N,0
14.2048,107.6665,307.5,1.3,1.1,2012-01-02,1458,Terra,MODIS,72,6.2,290.3,10.5,N,0
13.554,107.8282,305.8,1.3,1.1,2012-01-02,1458,Terra,MODIS,66,6.2,289.8,9.4,N,0
13.3378,107.6253,300.7,1.3,1.1,2012-01-02,1458,Terra,MODIS,31,6.2,289.8,5.1,N,0
14.2765,107.4683,321.2,1.3,1.1,2012-01-02,1458,Terra,MODIS,100,6.2,291.2,26.8,N,0
14.2647,107.4581,301.2,1.3,1.1,2012-01-02,1458,Terra,MODIS,39,6.2,290.8,5,N,0
14.2665,107.4698,322.4,1.3,1.1,2012-01-02,1458,Terra,MODIS,100,6.2,291.8,28.8,N,0
13.1746,107.7547,312.3,1.3,1.1,2012-01-03,0312,Terra,MODIS,42,6.2,293.9,6.2,D,0
13.4256,108.016,312.6,1.3,1.1,2012-01-03,0312,Terra,MODIS,64,6.2,297.4,7.3,D,0
14.1154,107.6528,318.9,1.4,1.2,2012-01-03,0312,Terra,MODIS,65,6.2,298.5,19.6,D,0
13.5522,107.8313,311.3,1.3,1.1,2012-01-03,0312,Terra,MODIS,41,6.2,297.2,7.2,D,0
10.9039,107.0564,315.7,1.4,1.2,2012-01-03,0312,Terra,MODIS,61,6.2,298.8,10,D,0
13.199,107.5688,319,1.4,1.2,2012-01-03,0312,Terra,MODIS,74,6.2,297.8,15.7,D,0
14.2637,107.4665,309.9,1.4,1.2,2012-01-03,0312,Terra,MODIS,36,6.2,297.4,9.3,D,0
13.3354,107.6315,318.5,1.4,1.2,2012-01-03,0312,Terra,MODIS,70,6.2,300.1,14,D,0
13.425,107.9429,316.3,1.3,1.1,2012-01-03,0312,Terra,MODIS,71,6.2,297.7,10.7,D,0
14.185,107.4497,314.9,1.4,1.2,2012-01-03,0312,Terra,MODIS,55,6.2,300.3,10.9,D,0
14.3594,108.0487,311.8,1.3,1.1,2012-01-03,0312,Terra,MODIS,0,6.2,297.5,8.1,D,0
14.1583,107.4058,322.5,1.5,1.2,2012-01-03,0312,Terra,MODIS,71,6.2,301.6,24.2,D,0
14.2743,107.468,348.9,1.4,1.2,2012-01-03,0312,Terra,MODIS,95,6.2,298.6,95.8,D,0
14.1171,107.6398,312.8,1.4,1.2,2012-01-03,0312,Terra,MODIS,47,6.2,298.3,10.9,D,0
14.2063,107.659,316.9,1.4,1.2,2012-01-03,0312,Terra,MODIS,71,6.2,296.7,17.5,D,0
14.045,107.5716,327.5,1.4,1.2,2012-01-03,0312,Terra,MODIS,83,6.2,298.1,35.6,D,0
14.2725,107.4821,336.8,1.4,1.2,2012-01-03,0312,Terra,MODIS,89,6.2,296.1,59,D,0
14.2047,107.6712,324.4,1.4,1.2,2012-01-03,0312,Terra,MODIS,81,6.2,296.8,29,D,0
14.0555,107.5735,309.2,1.4,1.2,2012-01-03,0312,Terra,MODIS,25,6.2,295.5,6.9,D,0
10.6466,107.5238,318.8,1.3,1.1,2012-01-03,0313,Terra,MODIS,60,6.2,301.2,11,D,0
10.3035,104.8571,306.7,2,1.4,2012-01-03,0313,Terra,MODIS,35,6.2,288,11.7,D,0
12.0308,108.5036,314.5,1,1,2012-01-03,0615,Aqua,MODIS,58,6.2,299.5,8.1,D,0
14.0229,107.7556,348.7,1,1,2012-01-03,0615,Aqua,MODIS,95,6.2,301.1,53.1,D,0
11.9915,107.8457,328.7,1,1,2012-01-03,0615,Aqua,MODIS,82,6.2,300.5,20.5,D,0
14.0242,107.7647,337.5,1,1,2012-01-03,0615,Aqua,MODIS,88,6.2,299.1,33.5,D,0
14.1935,107.6611,330,1,1,2012-01-03,0615,Aqua,MODIS,84,6.2,299.8,22.1,D,2
14.1846,107.6624,330.2,1,1,2012-01-03,0615,Aqua,MODIS,84,6.2,301.9,22.4,D,2
14.0937,107.4761,318.7,1,1,2012-01-03,0615,Aqua,MODIS,69,6.2,303.5,10.7,D,0
13.2853,107.7491,329.1,1,1,2012-01-03,0615,Aqua,MODIS,82,6.2,300.8,17.7,D,0
13.2866,107.7582,317.7,1,1,2012-01-03,0615,Aqua,MODIS,14,6.2,300.7,6.1,D,0
12.1244,107.6178,332.4,1,1,2012-01-03,0615,Aqua,MODIS,85,6.2,304.7,22.3,D,0
12.2336,107.4165,322.3,1,1,2012-01-03,0615,Aqua,MODIS,77,6.2,292.6,14.9,D,0
12.1757,107.4036,319.4,1,1,2012-01-03,0615,Aqua,MODIS,72,6.2,291.4,12.1,D,0
13.8526,107.9805,317.8,1,1,2012-01-03,0615,Aqua,MODIS,59,6.2,302.3,5.8,D,0
14.1085,107.6423,326.4,1,1,2012-01-03,0615,Aqua,MODIS,58,6.2,302,16.9,D,0
14.1811,107.4476,324.1,1,1,2012-01-03,0615,Aqua,MODIS,70,6.2,304.3,10.6,D,0
14.1721,107.449,324.7,1,1,2012-01-03,0615,Aqua,MODIS,63,6.2,305.6,11.8,D,0
14.2672,107.4652,333.6,1,1,2012-01-03,0615,Aqua,MODIS,86,6.2,304,27,D,0
14.2685,107.4744,331,1,1,2012-01-03,0615,Aqua,MODIS,85,6.2,301.7,24.3,D,0
11.8013,107.3624,321.7,1,1,2012-01-03,0615,Aqua,MODIS,71,6.2,301.1,11.1,D,0
13.0926,107.7535,316.5,1,1,2012-01-03,0615,Aqua,MODIS,37,6.2,299.7,5.6,D,0
12.2131,108.0413,315.1,1,1,2012-01-03,0615,Aqua,MODIS,68,6.2,294.7,8.4,D,0
13.0939,107.7626,317.1,1,1,2012-01-03,0615,Aqua,MODIS,29,6.2,298.2,5.8,D,0
11.8026,107.3716,319.8,1,1,2012-01-03,0615,Aqua,MODIS,61,6.2,301.5,9.7,D,0
13.2651,107.7988,318.6,1,1,2012-01-03,0615,Aqua,MODIS,68,6.2,300.1,8.8,D,0
14.1098,107.6514,318.5,1,1,2012-01-03,0615,Aqua,MODIS,0,6.2,301.8,9.4,D,0
13.0784,107.9103,318,1,1,2012-01-03,0615,Aqua,MODIS,65,6.2,299.8,6.4,D,0
12.0026,108.4335,318.4,1,1,2012-01-03,0615,Aqua,MODIS,71,6.2,297.7,10.5,D,0
12.0039,108.4426,317,1,1,2012-01-03,0615,Aqua,MODIS,57,6.2,297.7,9.6,D,0
12.0925,107.2744,317.7,1,1,2012-01-03,0615,Aqua,MODIS,70,6.2,294,10.8,D,0
13.8513,107.9713,320.1,1,1,2012-01-03,0615,Aqua,MODIS,69,6.2,304.6,8,D,0
11.2597,105.9589,320.7,1.2,1.1,2012-01-03,0615,Aqua,MODIS,68,6.2,300.7,9.7,D,0
