latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
12.9751,107.721,336.6,1.2,1.1,2013-01-01,0336,Terra,MODIS,88,6.2,294.1,39.8,D,0
13.1098,107.6395,328.3,1.2,1.1,2013-01-01,0336,Terra,MODIS,82,6.2,298.7,23.2,D,0
12.9734,107.7318,327.3,1.2,1.1,2013-01-01,0336,Terra,MODIS,81,6.2,296,23.4,D,0
13.3999,107.7658,315,1.2,1.1,2013-01-01,0336,Terra,MODIS,42,6.2,299.1,7.5,D,0
14.043,107.5727,305.5,1.1,1.1,2013-01-01,0336,Terra,MODIS,49,6.2,290.5,5.1,D,0
12.9462,107.5682,312.4,1.2,1.1,2013-01-01,0336,Terra,MODIS,56,6.2,296.6,6.7,D,0
13.3169,107.6203,317.7,1.2,1.1,2013-01-01,0336,Terra,MODIS,65,6.2,299.8,9.1,D,0
13.3299,107.9369,315.4,1.2,1.1,2013-01-01,0336,Terra,MODIS,66,6.2,298.3,10.8,D,0
13.0839,108.0083,313.5,1.2,1.1,2013-01-01,0336,Terra,MODIS,22,6.2,295.9,7,D,0
13.0181,107.5106,318.4,1.2,1.1,2013-01-01,0336,Terra,MODIS,71,6.2,297.4,13.7,D,0
13.0856,107.9973,313.9,1.2,1.1,2013-01-01,0336,Terra,MODIS,29,6.2,296.2,7.2,D,0
12.8095,107.7263,312,1.2,1.1,2013-01-01,0336,Terra,MODIS,49,6.2,293.6,7.4,D,0
13.0421,107.4823,324.1,1.1,1.1,2013-01-01,0336,Terra,MODIS,78,6.2,298.4,20.6,D,0
13.0437,107.4719,316.6,1.1,1.1,2013-01-01,0336,Terra,MODIS,68,6.2,297.3,11.6,D,0
13.083,108.0018,314.9,1.2,1.1,2013-01-01,0336,Terra,MODIS,47,6.2,296.2,7.9,D,0
13.4708,107.9609,318.5,1.2,1.1,2013-01-01,0336,Terra,MODIS,63,6.2,300.4,11.4,D,0
12.8719,107.6651,315,1.2,1.1,2013-01-01,0336,Terra,MODIS,60,6.2,296.9,8.7,D,0
12.9847,107.7226,324.9,1.2,1.1,2013-01-01,0336,Terra,MODIS,78,6.2,295.9,21.7,D,0
12.9768,107.7102,335.7,1.2,1.1,2013-01-01,0336,Terra,MODIS,87,6.2,291.1,38.8,D,0
13.1115,107.6289,328.9,1.2,1.1,2013-01-01,0336,Terra,MODIS,82,6.2,297.9,24,D,0
11.355,108.4197,315.9,1.4,1.2,2013-01-01,0337,Terra,MODIS,53,6.2,291.7,10.8,D,0
11.3571,108.4262,316,1.4,1.2,2013-01-01,0337,Terra,MODIS,48,6.2,291.7,11.3,D,0
13.4844,107.7738,321.5,2.1,1.4,2013-01-01,0640,Aqua,MODIS,73,6.2,297.4,27.4,D,0
13.4868,107.7929,319.7,2.1,1.4,2013-01-01,0640,Aqua,MODIS,71,6.2,298.8,22,D,0
11.839,106.4283,318.2,1.6,1.2,2013-01-01,0640,Aqua,MODIS,66,6.2,294,13.3,D,0
13.4112,107.8079,327.6,2.1,1.4,2013-01-01,0640,Aqua,MODIS,80,6.2,298.8,45.1,D,0
12.8518,107.91,320.6,2.1,1.4,2013-01-01,0640,Aqua,MODIS,62,6.2,297.2,24.9,D,0
13.2821,107.5781,319.6,2,1.4,2013-01-01,0640,Aqua,MODIS,64,6.2,298.4,20.4,D,0
13.7837,108.3037,322.6,2.3,1.5,2013-01-01,0640,Aqua,MODIS,74,6.2,297,47.3,D,0
12.8517,107.9151,318.4,2.1,1.4,2013-01-01,0640,Aqua,MODIS,57,6.2,297.3,21.3,D,0
10.4016,104.5969,308.5,1.1,1.1,2013-01-01,0640,Aqua,MODIS,63,6.2,287.1,5.3,D,0
11.9391,107.2969,310.4,1.8,1.3,2013-01-01,0640,Aqua,MODIS,37,6.2,288.9,9.6,D,0
13.0893,107.9453,322.4,2.1,1.4,2013-01-01,0640,Aqua,MODIS,69,6.2,299.3,34.4,D,0
13.4886,107.7854,323,2.1,1.4,2013-01-01,0640,Aqua,MODIS,75,6.2,298.3,31.5,D,0
13.1497,107.6814,324.8,2,1.4,2013-01-01,0640,Aqua,MODIS,77,6.2,299.8,28.3,D,0
