latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
21.4959,106.2958,305.9,1.1,1.1,2002-01-01,0349,Terra,MODIS,62,6.2,291.4,6.4,D,0
22.6818,103.2882,305.9,1,1,2002-01-01,0349,Terra,MODIS,38,6.2,291.5,6.8,D,0
21.4087,107.4941,303.4,1.3,1.1,2002-01-01,0349,Terra,MODIS,45,6.2,279.9,10.2,D,0
13.9046,108.2707,311.8,2,1.4,2002-01-01,0351,Terra,MODIS,26,6.2,299,19.3,D,0
14.0013,107.7767,308,1.9,1.3,2002-01-01,0351,Terra,MODIS,50,6.2,295.7,12.7,D,0
13.9016,108.2883,314.8,2.1,1.4,2002-01-01,0351,Terra,MODIS,51,6.2,297.2,26.8,D,0
13.4833,108.3503,312.2,2.1,1.4,2002-01-01,0351,Terra,MODIS,68,6.2,299.9,15,D,0
11.3654,106.5786,317,1.7,1.3,2002-01-01,0352,Terra,MODIS,71,6.2,298,20.1,D,0
10.7823,106.4769,309.7,1.7,1.3,2002-01-01,0352,Terra,MODIS,58,6.2,289.8,12.7,D,0
11.9395,108.3662,308.6,2.3,1.5,2002-01-01,0352,Terra,MODIS,62,6.2,294.3,19.7,D,0
11.5613,107.0016,310.9,1.8,1.3,2002-01-01,0352,Terra,MODIS,55,6.2,297.8,12.1,D,0
10.9595,106.9314,319,1.8,1.3,2002-01-01,0352,Terra,MODIS,72,6.2,297.6,25.2,D,0
11.7555,108.7467,300.5,1.4,1.2,2002-01-02,1525,Terra,MODIS,29,6.2,287.2,7.3,N,0
11.644,106.1636,308.5,1,1,2002-01-02,1525,Terra,MODIS,75,6.2,291,9.1,N,0
11.6427,106.1542,303.5,1,1,2002-01-02,1525,Terra,MODIS,56,6.2,289.9,5.9,N,0
11.2251,105.9944,310.2,1,1,2002-01-02,1525,Terra,MODIS,79,6.2,286.7,10.6,N,0
11.2238,105.9853,305.9,1,1,2002-01-02,1525,Terra,MODIS,66,6.2,285.1,7.7,N,0
11.6688,106.0782,309.4,1,1,2002-01-02,1525,Terra,MODIS,77,6.2,290.8,9.8,N,0
11.6041,106.0746,306.1,1,1,2002-01-02,1525,Terra,MODIS,67,6.2,290.6,7.6,N,0
21.6921,107.2227,306.3,1,1,2002-01-03,0337,Terra,MODIS,63,6.2,293.9,5.5,D,0
