latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
11.9801,108.6581,309.5,1.9,1.3,2010-01-01,0553,Aqua,MODIS,61,6.2,291.9,19.9,D,0
11.4708,107.3273,308,2.5,1.5,2010-01-01,0553,Aqua,MODIS,53,6.2,286.1,20.4,D,0
21.0336,103.2706,306.4,3.2,1.7,2010-01-01,0556,Aqua,MODIS,45,6.2,282.5,27.2,D,0
12.5079,109.0127,303.3,1.2,1.1,2010-01-01,1516,Terra,MODIS,54,6.2,287.1,7.2,N,0
21.5661,103.8236,308.6,1.6,1.2,2010-01-02,0328,Terra,MODIS,58,6.2,292.5,11.1,D,0
16.5901,107.2852,314.4,1,1,2010-01-02,0330,Terra,MODIS,65,6.2,297.9,8.2,D,0
14.0251,107.7292,310.6,1,1,2010-01-02,0330,Terra,MODIS,64,6.2,295,6.5,D,0
13.2076,108.9718,309.3,1.1,1.1,2010-01-02,0330,Terra,MODIS,51,6.2,290.2,7.1,D,0
12.8916,107.6605,321.6,1,1,2010-01-02,0330,Terra,MODIS,76,6.2,294.5,14.9,D,0
12.8126,108.6679,320.5,1.1,1.1,2010-01-02,0330,Terra,MODIS,71,6.2,293.2,15.7,D,0
13.2311,107.551,313.6,1,1,2010-01-02,0330,Terra,MODIS,59,6.2,297.1,5.2,D,0
12.8547,108.681,313.4,1.1,1.1,2010-01-02,0330,Terra,MODIS,60,6.2,289.5,9.1,D,0
12.8641,108.6824,312.6,1.1,1.1,2010-01-02,0330,Terra,MODIS,46,6.2,291.8,8.6,D,0
13.215,107.8989,315.9,1,1,2010-01-02,0330,Terra,MODIS,48,6.2,296.8,7.3,D,0
13.2513,107.7219,318.4,1,1,2010-01-02,0330,Terra,MODIS,72,6.2,295.9,8.8,D,0
11.33,106.4534,318.1,1,1,2010-01-02,0331,Terra,MODIS,69,6.2,294.5,7.8,D,0
11.989,108.4992,307.8,1.1,1.1,2010-01-02,0331,Terra,MODIS,50,6.2,291.5,5,D,0
12.0519,106.9269,314.2,1,1,2010-01-02,0331,Terra,MODIS,64,6.2,296.4,9,D,0
10.7564,107.5105,320.9,1,1,2010-01-02,0331,Terra,MODIS,75,6.2,289.1,13.7,D,0
10.8735,107.7067,315.9,1.1,1,2010-01-02,0331,Terra,MODIS,47,6.2,288.2,7.9,D,0
11.4311,106.0153,324.9,1,1,2010-01-02,0331,Terra,MODIS,78,6.2,298.5,13.7,D,0
10.9898,107.488,313,1,1,2010-01-02,0331,Terra,MODIS,44,6.2,284.4,5.8,D,0
11.8782,106.4646,333.1,1.2,1.1,2010-01-02,0636,Aqua,MODIS,84,6.2,291.6,28.8,D,0
10.2317,104.8473,309.9,1,1,2010-01-02,0636,Aqua,MODIS,60,6.2,286.5,5.3,D,0
12.018,106.7546,316.1,1.3,1.1,2010-01-02,0636,Aqua,MODIS,29,6.2,294,8.7,D,0
13.2172,107.6907,315.5,1.5,1.2,2010-01-02,0636,Aqua,MODIS,45,6.2,293.7,8.9,D,0
10.3824,105.0661,320.8,1,1,2010-01-02,0636,Aqua,MODIS,77,6.2,281.6,16.3,D,0
11.9402,106.4733,325.2,1.2,1.1,2010-01-02,0636,Aqua,MODIS,77,6.2,292.4,18.5,D,0
12.9982,107.7604,312.5,1.6,1.2,2010-01-02,0636,Aqua,MODIS,55,6.2,291.6,8.7,D,0
11.9355,107.3032,319,1.4,1.2,2010-01-02,0636,Aqua,MODIS,43,6.2,289.1,12.4,D,0
11.9276,107.2983,321.1,1.4,1.2,2010-01-02,0636,Aqua,MODIS,50,6.2,290.4,16,D,0
13.0102,107.5889,317.7,1.5,1.2,2010-01-02,0636,Aqua,MODIS,69,6.2,294.6,15.6,D,0
12.8696,107.662,312.2,1.5,1.2,2010-01-02,0636,Aqua,MODIS,52,6.2,292,8.7,D,0
11.0058,108.0279,314.7,1.5,1.2,2010-01-02,0636,Aqua,MODIS,50,6.2,285.8,7.5,D,0
12.0563,107.3708,320,1.4,1.2,2010-01-02,0636,Aqua,MODIS,72,6.2,288.2,19,D,0
12.0292,107.3676,316.9,1.4,1.2,2010-01-02,0636,Aqua,MODIS,65,6.2,287.9,13.1,D,0
13.4094,108.1201,313.5,1.7,1.3,2010-01-02,0636,Aqua,MODIS,58,6.2,288.3,11.3,D,0
13.4086,108.1299,312.8,1.7,1.3,2010-01-02,0636,Aqua,MODIS,47,6.2,288.4,10.9,D,0
13.2192,107.6191,315.2,1.5,1.2,2010-01-02,0636,Aqua,MODIS,62,6.2,294.4,10.3,D,0
11.8797,106.4758,338.1,1.2,1.1,2010-01-02,0636,Aqua,MODIS,88,6.2,293.1,39,D,0
14.1154,107.3809,316.9,1.5,1.2,2010-01-02,0637,Aqua,MODIS,69,6.2,289,21.3,D,0
14.1172,107.3948,313.8,1.5,1.2,2010-01-02,0637,Aqua,MODIS,30,6.2,290.7,16.8,D,0
13.5746,108.1637,314.9,1.7,1.3,2010-01-02,0637,Aqua,MODIS,61,6.2,292,12.8,D,0
14.6087,107.6591,321.7,1.6,1.2,2010-01-02,0637,Aqua,MODIS,75,6.2,281.2,36.8,D,0
13.7173,107.6589,316.9,1.6,1.2,2010-01-02,0637,Aqua,MODIS,62,6.2,299.5,11.3,D,0
13.9929,107.7697,314.2,1.6,1.2,2010-01-02,0637,Aqua,MODIS,54,6.2,295.6,11.5,D,0
13.717,107.6647,315.8,1.6,1.2,2010-01-02,0637,Aqua,MODIS,59,6.2,298.8,10.8,D,0
22.1805,102.8816,314.2,1.1,1,2010-01-02,0639,Aqua,MODIS,72,6.2,295.5,11.7,D,0
22.5729,103.2123,306,1.1,1,2010-01-02,0639,Aqua,MODIS,22,6.2,295.2,4.4,D,0
21.3064,103.427,318.3,1.1,1,2010-01-02,0639,Aqua,MODIS,58,6.2,298.3,11,D,0
21.5876,104.1827,306.8,1.2,1.1,2010-01-02,0639,Aqua,MODIS,33,6.2,291.5,7,D,0
21.3411,103.4734,306.4,1.1,1,2010-01-02,0639,Aqua,MODIS,35,6.2,293.5,4.5,D,0
22.5743,103.223,314.8,1.1,1,2010-01-02,0639,Aqua,MODIS,73,6.2,297.1,11.7,D,0
21.4591,103.4098,310,1.1,1,2010-01-02,0639,Aqua,MODIS,27,6.2,296,6.7,D,0
22.0903,103.5858,313.1,1.1,1.1,2010-01-02,0639,Aqua,MODIS,70,6.2,301.5,6.7,D,0
21.4713,104.2175,310.7,1.2,1.1,2010-01-02,0639,Aqua,MODIS,55,6.2,295.8,8.5,D,0
22.1819,102.892,304.4,1.1,1,2010-01-02,0639,Aqua,MODIS,45,6.2,294.3,3.7,D,0
21.3192,104.1517,313.9,1.2,1.1,2010-01-02,0639,Aqua,MODIS,59,6.2,299.6,6.9,D,0
22.6397,102.5436,310,1.1,1,2010-01-02,0639,Aqua,MODIS,66,6.2,290.3,9.2,D,0
21.0726,103.2621,309,1.1,1,2010-01-02,0639,Aqua,MODIS,0,6.2,291.8,7.1,D,0
21.7532,103.3554,307.1,1.8,1.3,2010-01-03,0411,Terra,MODIS,65,6.2,297,12.5,D,0
22.6275,104.2074,300.2,2,1.4,2010-01-03,0411,Terra,MODIS,21,6.2,286.3,6.7,D,0
13.1468,107.6971,311.8,3.7,1.8,2010-01-03,0541,Aqua,MODIS,44,6.2,284,32.9,D,0
13.1592,107.6296,315,3.8,1.8,2010-01-03,0541,Aqua,MODIS,68,6.2,284.7,54.1,D,0
13.1502,107.6265,312.8,3.8,1.8,2010-01-03,0541,Aqua,MODIS,63,6.2,284.8,43.9,D,0
11.5756,107.2423,309.8,4.3,1.9,2010-01-03,0541,Aqua,MODIS,61,6.2,280.4,52.3,D,0
12.0695,107.7392,307.5,3.9,1.8,2010-01-03,0541,Aqua,MODIS,32,6.2,283.9,27.4,D,0
11.5732,107.2461,310.3,4.3,1.9,2010-01-03,0541,Aqua,MODIS,61,6.2,280.3,56,D,0
12.0634,107.7443,307.6,3.9,1.8,2010-01-03,0541,Aqua,MODIS,26,6.2,284.1,28.6,D,0
14.5742,107.6052,310.1,3.5,1.8,2010-01-03,0542,Aqua,MODIS,53,6.2,293.6,38.4,D,0
14.1135,107.3714,307.6,3.8,1.8,2010-01-03,0542,Aqua,MODIS,55,6.2,293.6,32.1,D,0
14.5618,108.125,306.5,3.2,1.7,2010-01-03,0542,Aqua,MODIS,53,6.2,292.8,28.3,D,0
14.1217,107.3762,308.6,3.8,1.8,2010-01-03,0542,Aqua,MODIS,56,6.2,293.6,34.7,D,0
10.7709,107.8254,303.2,1.1,1.1,2010-01-03,1503,Terra,MODIS,54,6.2,285.2,5.7,N,0
10.7724,107.8357,307.4,1.1,1.1,2010-01-03,1503,Terra,MODIS,71,6.2,285.1,8.8,N,0
10.7763,107.8292,310.3,1.1,1.1,2010-01-03,1503,Terra,MODIS,80,6.2,285,11.5,N,0
