latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
13.2921,107.7994,314.8,1.2,1.1,2007-01-01,0336,Terra,MODIS,67,6.2,289.6,10.4,D,0
13.316,107.8365,322.7,1.2,1.1,2007-01-01,0336,Terra,MODIS,78,6.2,290.4,19,D,0
13.1701,107.6746,326.7,1.2,1.1,2007-01-01,0336,Terra,MODIS,82,6.2,290,22.7,D,0
13.1661,107.6784,312.9,1.2,1.1,2007-01-01,0336,Terra,MODIS,45,6.2,290.3,6.8,D,0
13.2858,107.5906,317.2,1.2,1.1,2007-01-01,0336,Terra,MODIS,59,6.2,296.2,8.8,D,0
14.299,107.7893,310.2,1.2,1.1,2007-01-01,0336,Terra,MODIS,50,6.2,296.6,6,D,0
13.3177,107.8257,315.2,1.2,1.1,2007-01-01,0336,Terra,MODIS,40,6.2,291.3,9.8,D,0
13.2904,107.8102,321.6,1.2,1.1,2007-01-01,0336,Terra,MODIS,76,6.2,290.2,18.3,D,0
13.2641,107.8505,313.5,1.2,1.1,2007-01-01,0336,Terra,MODIS,55,6.2,292.5,8.4,D,0
13.1677,107.6677,320.9,1.2,1.1,2007-01-01,0336,Terra,MODIS,77,6.2,288.6,15.8,D,0
13.4304,107.6312,311.8,1.2,1.1,2007-01-01,0336,Terra,MODIS,61,6.2,291.1,7.8,D,0
13.4288,107.6417,308.7,1.2,1.1,2007-01-01,0336,Terra,MODIS,50,6.2,290.5,4.8,D,0
13.2299,107.608,316.5,1.2,1.1,2007-01-01,0336,Terra,MODIS,59,6.2,295.4,7.5,D,0
11.6358,106.8723,328.6,1.1,1.1,2007-01-01,0337,Terra,MODIS,85,6.2,294.1,24.5,D,0
11.3375,107.133,311,1.2,1.1,2007-01-01,0337,Terra,MODIS,24,6.2,276.2,8.3,D,0
11.9578,107.2952,310.3,1.2,1.1,2007-01-01,0337,Terra,MODIS,44,6.2,286.6,6.6,D,0
11.6374,106.8622,359.1,1.1,1.1,2007-01-01,0337,Terra,MODIS,99,6.2,295.3,91.8,D,0
11.6314,106.8652,312.9,1.1,1.1,2007-01-01,0337,Terra,MODIS,21,6.2,292.6,7.7,D,0
14.3446,107.9389,319.7,2.2,1.4,2007-01-01,0640,Aqua,MODIS,75,6.2,298.2,24.7,D,0
21.2392,104.2151,308.5,1.5,1.2,2007-01-01,0642,Aqua,MODIS,33,6.2,293.9,7.3,D,0
21.6291,103.2571,309.4,1.3,1.1,2007-01-01,0642,Aqua,MODIS,60,6.2,295.6,7.8,D,0
21.4559,104.1954,308.7,1.5,1.2,2007-01-01,0642,Aqua,MODIS,54,6.2,295.1,10.4,D,0
21.9349,103.6079,309.8,1.4,1.2,2007-01-01,0642,Aqua,MODIS,63,6.2,289,10.5,D,0
22.3027,102.5407,306.8,1.2,1.1,2007-01-01,0642,Aqua,MODIS,25,6.2,293.5,7.1,D,0
21.6903,103.8507,311.5,1.4,1.2,2007-01-01,0642,Aqua,MODIS,69,6.2,293.3,11.9,D,0
21.2286,104.2177,309.1,1.5,1.2,2007-01-01,0642,Aqua,MODIS,28,6.2,295.1,8.1,D,0
21.9335,103.5957,328.6,1.4,1.2,2007-01-01,0642,Aqua,MODIS,85,6.2,294.5,38.5,D,0
21.7724,102.8792,308.3,2.1,1.4,2007-01-02,0417,Terra,MODIS,67,6.2,292.9,20.3,D,0
21.7731,102.8848,307.3,2.1,1.4,2007-01-02,0417,Terra,MODIS,65,6.2,292.7,18.3,D,0
22.2028,103.4059,306.7,2.3,1.5,2007-01-02,0417,Terra,MODIS,64,6.2,293.4,16,D,0
22.2352,103.6441,311.2,3.7,1.8,2007-01-02,0547,Aqua,MODIS,63,6.2,293,57.7,D,0
22.2424,103.649,312.7,3.7,1.8,2007-01-02,0547,Aqua,MODIS,69,6.2,293.1,63.7,D,0
21.0981,104.0065,303.2,3.7,1.8,2007-01-02,0547,Aqua,MODIS,19,6.2,287.8,20.7,D,0
22.5252,103.1816,306,2.3,1.5,2007-01-03,0322,Terra,MODIS,61,6.2,292.9,16.5,D,0
20.5182,105.2787,310.3,1.5,1.2,2007-01-03,0322,Terra,MODIS,65,6.2,296.3,12.6,D,0
11.9564,106.5116,314.5,1.1,1,2007-01-03,0324,Terra,MODIS,55,6.2,284.6,7.8,D,0
12.8773,107.9164,314.7,1,1,2007-01-03,0324,Terra,MODIS,24,6.2,289.2,6.5,D,0
12.0525,107.8857,325,1,1,2007-01-03,0324,Terra,MODIS,81,6.2,295.1,18,D,0
