latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
21.8227,103.786,304,2,1.4,2001-01-02,0334,Terra,MODIS,58,6.2,292.2,10.5,D,0
20.1261,105.451,308.2,1.5,1.2,2001-01-02,0335,Terra,MODIS,64,6.2,296.5,7.6,D,0
13.4321,107.9148,310.6,1,1,2001-01-02,0337,Terra,MODIS,64,6.2,287.6,6.2,D,0
13.4308,107.924,309.5,1,1,2001-01-02,0337,Terra,MODIS,62,6.2,287.1,5.5,D,0
13.2851,107.7217,317.7,1,1,2001-01-02,0337,Terra,MODIS,62,6.2,299.3,10.5,D,0
13.2838,107.7308,320.5,1,1,2001-01-02,0337,Terra,MODIS,75,6.2,296.6,13.5,D,0
12.581,108.0017,323.4,1,1,2001-01-02,0337,Terra,MODIS,80,6.2,302,15.2,D,0
12.5797,108.0108,323.6,1,1,2001-01-02,0337,Terra,MODIS,81,6.2,299.1,15.7,D,0
12.1566,108.5627,301.9,1,1,2001-01-02,0337,Terra,MODIS,21,6.2,290.9,4.1,D,0
11.9877,107.2035,311.5,1,1,2001-01-02,0337,Terra,MODIS,66,6.2,297.5,5.5,D,0
11.4738,107.063,308,1,1,2001-01-02,0337,Terra,MODIS,52,6.2,289,5.4,D,0
22.2095,103.4203,307.6,1.4,1.2,2001-01-03,0417,Terra,MODIS,63,6.2,293.5,7.5,D,0
22.1107,103.3939,304,1.4,1.2,2001-01-03,0417,Terra,MODIS,48,6.2,291.4,5.8,D,0
21.9397,102.9524,305.2,1.3,1.1,2001-01-03,0417,Terra,MODIS,61,6.2,291.7,8.5,D,0
21.5909,103.3758,313,1.4,1.2,2001-01-03,0417,Terra,MODIS,73,6.2,293.8,15.5,D,0
11.5062,105.9925,310.4,1.8,1.3,2001-01-03,1510,Terra,MODIS,80,6.2,288.9,25.6,N,0
11.5126,105.9851,306.6,1.8,1.3,2001-01-03,1510,Terra,MODIS,58,6.2,289,19.9,N,0
11.6329,106.0094,303.5,1.8,1.3,2001-01-03,1510,Terra,MODIS,29,6.2,288.4,17.3,N,0
14.5908,107.7712,311.1,1.4,1.2,2001-01-04,0324,Terra,MODIS,59,6.2,297.6,9.7,D,0
14.4153,107.8732,315.5,1.4,1.2,2001-01-04,0324,Terra,MODIS,59,6.2,298.4,11,D,0
14.1016,108.3157,309.3,1.3,1.1,2001-01-04,0324,Terra,MODIS,27,6.2,294.4,4.1,D,0
13.8916,107.973,320.7,1.3,1.1,2001-01-04,0324,Terra,MODIS,76,6.2,300.7,12.1,D,0
12.1811,107.4302,306.8,1.4,1.2,2001-01-04,0325,Terra,MODIS,47,6.2,293.2,7.2,D,0
10.7625,107.6717,313.2,2.4,1.5,2001-01-05,1457,Terra,MODIS,87,6.2,289.8,40.8,N,0
10.7612,107.6887,306.2,2.4,1.5,2001-01-05,1457,Terra,MODIS,67,6.2,290.1,22.5,N,0
10.7575,107.6673,308.5,2.4,1.5,2001-01-05,1457,Terra,MODIS,75,6.2,289.8,28.3,N,0
14.1676,107.783,307.8,2.3,1.5,2001-01-06,0312,Terra,MODIS,45,6.2,290.4,16.5,D,0
13.3622,108.4448,320.3,2,1.4,2001-01-06,0312,Terra,MODIS,65,6.2,290.5,34.3,D,0
13.3597,108.4379,309.5,2,1.4,2001-01-06,0312,Terra,MODIS,42,6.2,289.7,12.7,D,0
10.8108,107.6738,318.3,2.1,1.4,2001-01-06,0313,Terra,MODIS,54,6.2,298.2,19.1,D,0
