latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
13.1403,107.785,334.8,1.1,1,2003-01-01,0319,Terra,MODIS,87,6.2,297.1,33.7,D,0
12.8537,107.9291,322.9,1.1,1,2003-01-01,0319,Terra,MODIS,75,6.2,296.4,14.2,D,0
13.2217,107.5469,322.8,1.1,1.1,2003-01-01,0319,Terra,MODIS,77,6.2,298.7,16.4,D,0
14.6904,108.0846,308.1,1.1,1,2003-01-01,0319,Terra,MODIS,44,6.2,296.8,7.1,D,0
12.8551,107.9192,328.2,1.1,1,2003-01-01,0319,Terra,MODIS,82,6.2,297.5,21.6,D,0
13.918,107.8956,316.6,1.1,1.1,2003-01-01,0319,Terra,MODIS,67,6.2,302.2,7.4,D,0
10.8879,107.9008,323.2,1.1,1,2003-01-01,0320,Terra,MODIS,55,6.2,291.5,15.2,D,0
12.8631,107.903,319,1.1,1,2003-01-01,0618,Aqua,MODIS,38,6.2,299.4,7.6,D,0
11.9378,107.273,323.4,1,1,2003-01-01,0618,Aqua,MODIS,78,6.2,293,16.3,D,0
12.5816,108.0018,316.4,1.1,1,2003-01-01,0618,Aqua,MODIS,63,6.2,299.8,7.3,D,0
11.6012,107.0336,311.5,1,1,2003-01-01,0618,Aqua,MODIS,44,6.2,293.2,4.9,D,0
12.0007,107.1918,319.3,1,1,2003-01-01,0618,Aqua,MODIS,73,6.2,296.5,9.7,D,0
12.469,107.7801,315,1,1,2003-01-01,0618,Aqua,MODIS,51,6.2,295.1,7.7,D,0
12.8709,107.8921,325.6,1.1,1,2003-01-01,0618,Aqua,MODIS,67,6.2,297.4,15.4,D,0
12.7745,107.8641,341.7,1,1,2003-01-01,0618,Aqua,MODIS,91,6.2,297.3,40.8,D,0
12.7731,107.8545,318.7,1,1,2003-01-01,0618,Aqua,MODIS,72,6.2,296.2,9,D,0
11.9994,107.1827,315.3,1,1,2003-01-01,0618,Aqua,MODIS,51,6.2,295.7,6.2,D,0
12.0083,107.1814,315.5,1,1,2003-01-01,0618,Aqua,MODIS,36,6.2,296.1,6.7,D,0
12.6425,107.9079,324,1.1,1,2003-01-01,0618,Aqua,MODIS,75,6.2,296.4,15,D,0
13.6637,107.9891,322.9,1.1,1,2003-01-01,0619,Aqua,MODIS,75,6.2,301.1,12.7,D,0
13.2371,107.5559,326.6,1,1,2003-01-01,0619,Aqua,MODIS,77,6.2,301.6,15.5,D,0
13.3024,107.7601,315.4,1,1,2003-01-01,0619,Aqua,MODIS,40,6.2,296.2,6.4,D,0
13.4759,107.8898,313.4,1.1,1,2003-01-01,0619,Aqua,MODIS,34,6.2,296,5.2,D,0
13.7457,107.9807,316.6,1.1,1,2003-01-01,0619,Aqua,MODIS,65,6.2,299.5,6.1,D,0
13.6651,107.9989,335.3,1.1,1,2003-01-01,0619,Aqua,MODIS,87,6.2,302.1,31,D,0
11.6708,106.1051,316.8,2.3,1.5,2003-01-02,1452,Terra,MODIS,94,6.2,278.5,53.1,N,0
